hidden_layers,activation,solver,max_iter,accuracy,f1_score,cv_mean,cv_std,cv_fold_1,cv_fold_2,cv_fold_3,validation_fraction,n_iter_no_change,learning_rate,alpha,batch_size,learning_rate_init,momentum,nesterovs_momentum,early_stopping,tol,n_iter_,n_layers_,n_outputs_,timestamp
"(500, 250, 125, 60)",identity,adam,1000,0.8125,0.4482758620689655,0.5005555847661111,0.03748659050617302,0.5245421245421246,0.529505582137161,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,17,6,1,2024-12-27 02:13:31.043369
"(500, 250, 125, 60)",identity,adam,500,0.8125,0.4482758620689655,0.5005555847661111,0.03748659050617302,0.5245421245421246,0.529505582137161,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,17,6,1,2024-12-27 02:13:30.551107
"(500, 250, 125, 60)",logistic,adam,200,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,17,6,1,2024-12-27 02:12:20.817955
"(200, 100, 50, 25)",relu,sgd,200,0.8068181818181818,0.44654088050314467,0.44022990499984577,0.017525798517319995,0.4158415841584158,0.4485981308411215,0.45625,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,110,6,1,2024-12-27 02:08:14.035768
"(200, 100, 50, 25)",relu,sgd,500,0.8068181818181818,0.44654088050314467,0.44022990499984577,0.017525798517319995,0.4158415841584158,0.4485981308411215,0.45625,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,110,6,1,2024-12-27 02:08:15.005274
"(200, 100, 50, 25)",relu,sgd,1000,0.8068181818181818,0.44654088050314467,0.44022990499984577,0.017525798517319995,0.4158415841584158,0.4485981308411215,0.45625,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,110,6,1,2024-12-27 02:08:15.977894
"(200, 100, 50, 25)",relu,sgd,2000,0.8068181818181818,0.44654088050314467,0.44022990499984577,0.017525798517319995,0.4158415841584158,0.4485981308411215,0.45625,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,110,6,1,2024-12-27 02:08:16.949317
"(100, 50)",logistic,sgd,200,0.8068181818181818,0.44654088050314467,0.4465378016250878,0.002257103171319496,0.44339622641509435,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,114,4,1,2024-12-27 02:03:04.120358
"(100, 50)",logistic,sgd,500,0.8068181818181818,0.44654088050314467,0.4465378016250878,0.002257103171319496,0.44339622641509435,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,114,4,1,2024-12-27 02:03:04.965362
"(100, 50)",logistic,sgd,1000,0.8068181818181818,0.44654088050314467,0.4465378016250878,0.002257103171319496,0.44339622641509435,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,114,4,1,2024-12-27 02:03:05.786770
